Epoch,AgentType,Epsilon,States/Steps,AvgScore,BestScore,TotalDeaths
2340,DQN,0.00604,99535,98.14,1101,2654
2360,DQN,0.00556,101152,90.82,1101,2674
2380,DQN,0.00509,102922,85.25,1101,2694
2400,DQN,0.00457,105047,89.51,1101,2714
2420,DQN,0.00415,106951,91.35,1101,2734
2440,DQN,0.00378,108792,94.66,1101,2754
2460,DQN,0.00350,110334,93.97,1101,2774
2480,DQN,0.00315,112387,96.84,1101,2794
2500,DQN,0.00281,114651,98.29,1101,2814
2520,DQN,0.00263,115945,92.34,1101,2834
2540,DQN,0.00247,117213,86.52,1101,2854
2560,DQN,0.00220,119479,93.86,1101,2874
2580,DQN,0.00207,120755,86.09,1101,2894
2600,DQN,0.00196,121741,73.19,1101,2914
2620,DQN,0.00175,123980,82.84,1101,2934
2640,DQN,0.00169,124759,78.42,1101,2954
2660,DQN,0.00167,124879,57.40,1101,2974
2680,DQN,0.00166,124999,46.39,1101,2994
2700,DQN,0.00163,125407,41.09,1101,3014
2720,DQN,0.00160,125697,19.83,1101,3034
2740,DQN,0.00155,126279,16.00,1101,3054
2760,DQN,0.00151,126776,18.92,1101,3074
2780,DQN,0.00148,127216,21.52,1101,3094
2800,DQN,0.00145,127656,21.30,1101,3114
2820,DQN,0.00141,128134,24.73,1101,3134
2840,DQN,0.00138,128595,24.80,1101,3154
2860,DQN,0.00134,129173,25.55,1101,3174
2880,DQN,0.00131,129632,25.73,1101,3194
2900,DQN,0.00127,130083,25.73,1101,3214
2920,DQN,0.00125,130535,25.46,1101,3234
2940,DQN,0.00122,130975,25.34,1101,3254
2960,DQN,0.00119,131415,24.27,1101,3274
2980,DQN,0.00115,132026,25.71,1101,3294
3000,DQN,0.00113,132466,25.71,1101,3314
3020,DQN,0.00110,132906,25.62,1101,3334
3040,DQN,0.00108,133346,25.62,1101,3354
3060,DQN,0.00105,133839,26.15,1101,3374
3080,DQN,0.00102,134347,25.07,1101,3394
3100,DQN,0.00100,134787,25.07,1101,3414
3120,DQN,0.00100,135227,25.07,1101,3434
3140,DQN,0.00100,135669,25.01,1101,3454
3160,DQN,0.00100,136109,24.48,1101,3474
3180,DQN,0.00100,136570,24.06,1101,3494
3200,DQN,0.00100,137086,24.78,1101,3514
3220,DQN,0.00100,137516,24.66,1101,3534
3240,DQN,0.00100,137956,24.72,1101,3554
3260,DQN,0.00100,138396,24.72,1101,3574
3280,DQN,0.00100,138836,24.60,1101,3594
3300,DQN,0.00100,139371,24.78,1101,3614
3320,DQN,0.00100,139811,24.90,1101,3634
3340,DQN,0.00100,140263,24.99,1101,3654
3360,DQN,0.00100,140705,24.93,1101,3674
3380,DQN,0.00100,141145,24.93,1101,3694
3400,DQN,0.00100,141642,24.57,1101,3714
3420,DQN,0.00100,142139,25.11,1101,3734
3440,DQN,0.00100,142579,25.02,1101,3754
3460,DQN,0.00100,143019,25.08,1101,3774
3480,DQN,0.00100,143459,25.08,1101,3794
3500,DQN,0.00100,143997,25.52,1101,3814
3520,DQN,0.00100,145528,35.87,1101,3834
3540,DQN,0.00100,147789,54.27,1101,3854
3560,DQN,0.00100,150054,72.69,1101,3874
3580,DQN,0.00100,150281,71.14,1101,3894
3600,DQN,0.00100,150401,67.56,1101,3914
3620,DQN,0.00100,150521,54.07,1101,3934
3640,DQN,0.00100,150756,34.21,1101,3954
3660,DQN,0.00100,150876,13.19,1101,3974
3680,DQN,0.00100,151123,13.29,1101,3994
3700,DQN,0.00100,151243,13.29,1101,4014
3720,DQN,0.00100,151363,13.29,1101,4034
3740,DQN,0.00100,151483,12.15,1101,4054
3760,DQN,0.00100,151603,12.15,1101,4074
3780,DQN,0.00100,151723,11.00,1101,4094
3800,DQN,0.00100,151843,11.00,1101,4114
3820,DQN,0.00100,152585,15.85,1101,4134
3840,DQN,0.00100,152896,15.96,1101,4154
3860,DQN,0.00100,153016,15.96,1101,4174
3880,DQN,0.00100,153136,15.96,1101,4194
3900,DQN,0.00100,153256,15.96,1101,4214
3920,DQN,0.00100,153376,11.11,1101,4234
3940,DQN,0.00100,153496,11.00,1101,4254
3960,DQN,0.00100,153616,11.00,1101,4274
3980,DQN,0.00100,153736,11.00,1101,4294
4000,DQN,0.00100,153856,11.00,1101,4314
4020,DQN,0.00100,153976,11.00,1101,4334
4040,DQN,0.00100,154096,11.00,1101,4354
4060,DQN,0.00100,154652,15.16,1101,4374
4080,DQN,0.00100,154772,15.16,1101,4394
4100,DQN,0.00100,154999,16.21,1101,4414
4120,DQN,0.00100,155119,16.21,1101,4434
4140,DQN,0.00100,155762,16.77,1101,4454
4160,DQN,0.00100,156050,13.51,1101,4474
4180,DQN,0.00100,156170,13.51,1101,4494
4200,DQN,0.00100,156290,12.46,1101,4514
4220,DQN,0.00100,156410,12.46,1101,4534
4240,DQN,0.00100,156530,11.90,1101,4554
4260,DQN,0.00100,156650,11.00,1101,4574
4280,DQN,0.00100,156770,11.00,1101,4594
4300,DQN,0.00100,156890,11.00,1101,4614
4320,DQN,0.00100,157010,11.00,1101,4634
4340,DQN,0.00100,157502,14.63,1101,4654
4360,DQN,0.00100,159013,28.28,1101,4674
4380,DQN,0.00100,159150,28.41,1101,4694
4400,DQN,0.00100,159270,28.41,1101,4714
4420,DQN,0.00100,159545,29.90,1101,4734
4440,DQN,0.00100,161076,40.07,1101,4754
4460,DQN,0.00100,161196,26.42,1101,4774
4480,DQN,0.00100,161316,26.29,1101,4794
4500,DQN,0.00100,161436,26.29,1101,4814
4520,DQN,0.00100,161556,24.80,1101,4834
4540,DQN,0.00100,161676,11.00,1101,4854
4560,DQN,0.00100,162651,19.38,1101,4874
4580,DQN,0.00100,163306,24.63,1101,4894
4600,DQN,0.00100,163426,24.63,1101,4914
4620,DQN,0.00100,163546,24.63,1101,4934
4640,DQN,0.00100,163666,24.63,1101,4954
4660,DQN,0.00100,163901,17.39,1101,4974
4680,DQN,0.00100,164449,16.34,1101,4994
4700,DQN,0.00100,164569,16.34,1101,5014
4720,DQN,0.00100,164689,16.34,1101,5034
4740,DQN,0.00100,164809,16.34,1101,5054
4760,DQN,0.00100,164929,15.20,1101,5074
4780,DQN,0.00100,165049,11.00,1101,5094
4800,DQN,0.00100,165169,11.00,1101,5114
4820,DQN,0.00100,165289,11.00,1101,5134
4840,DQN,0.00100,165409,11.00,1101,5154
4860,DQN,0.00100,165529,11.00,1101,5174
4880,DQN,0.00100,165649,11.00,1101,5194
4900,DQN,0.00100,165769,11.00,1101,5214
4920,DQN,0.00100,165889,11.00,1101,5234
4940,DQN,0.00100,166241,13.28,1101,5254
4960,DQN,0.00100,166709,16.70,1101,5274
4980,DQN,0.00100,166829,16.70,1101,5294
5000,DQN,0.00100,166949,16.70,1101,5314
5020,DQN,0.00100,167069,16.70,1101,5334
5040,DQN,0.00100,167189,14.42,1101,5354
5060,DQN,0.00100,167309,11.00,1101,5374
5080,DQN,0.00100,167429,11.00,1101,5394
5100,DQN,0.00100,167549,11.00,1101,5414
5120,DQN,0.00100,167686,11.13,1101,5434
5140,DQN,0.00100,167806,11.13,1101,5454
5160,DQN,0.00100,167926,11.13,1101,5474
5180,DQN,0.00100,168046,11.13,1101,5494
5200,DQN,0.00100,168166,11.13,1101,5514
5220,DQN,0.00100,168286,11.00,1101,5534
5240,DQN,0.00100,168423,11.13,1101,5554
5260,DQN,0.00100,168543,11.13,1101,5574
5280,DQN,0.00100,168663,11.13,1101,5594
5300,DQN,0.00100,168783,11.13,1101,5614
5320,DQN,0.00100,168903,11.13,1101,5634
5340,DQN,0.00100,169023,11.00,1101,5654
5360,DQN,0.00100,169143,11.00,1101,5674
5380,DQN,0.00100,169269,10.89,1101,5694
5400,DQN,0.00100,169484,11.82,1101,5714
5420,DQN,0.00100,169604,11.82,1101,5734
5440,DQN,0.00100,170200,16.27,1101,5754
5460,DQN,0.00100,170690,19.11,1101,5774
